ADM2_NAME,RP,Is_Urban,Distance_to_River_m,Latitude,Longitude
Gassol,1.5,0,1533.25,8.3828235,10.4650956
Gaya,1.5,1,14866.65,11.8189571,9.0267113
Gbako,2.0,0,15031.26,9.2790366,5.9973716
Gboko,1.5,0,9672.65,7.3778482,8.8713224
Geidam,1.5,1,1092.81,12.8952043,11.9264702
Gezawa,1.5,0,7953.35,12.0643182,8.7188397
Giade,1.5,1,20000.0,11.4165826,10.2346898
Girei,1.5,1,10488.2,9.418212,12.4745425
Giwa,1.5,1,20000.0,11.0464629,7.2339435
Gokana,1.5,1,3864.95,4.6578536,7.2944847
Gombe,1.5,1,2458.31,10.4304018,11.2065408
Gombi,3.0,0,3449.07,10.2425242,12.53884
Goronyo,1.5,1,13481.23,13.3498618,5.7675412
Gubio,1.5,1,3775.63,12.6718417,12.7756347
Gudu,1.5,1,20000.0,13.4596132,4.4512601
Gujba,3.0,1,17244.57,11.344585,11.9202736
Gulani,1.5,1,3470.16,10.9178343,11.6427552
Guma,1.5,0,8400.25,7.8682914,8.8286537
Gumel,1.5,1,20000.0,12.6232524,9.4044169
Gummi,1.5,1,4271.94,12.0443133,5.1088086
Gurara,1.5,1,1378.25,9.3250486,7.0316675
Guri,1.5,1,733.63,12.7284315,10.4197948
Gusau,1.5,1,785.38,12.1658358,6.6606398
Guyuk,1.5,1,9667.07,9.8359475,11.9223112
Guzamala,1.5,1,20000.0,12.8640065,13.2508969
Gwadabawa,1.5,1,8248.51,13.4160911,5.3227333
Gwagwalada,1.5,1,170.94,8.9360261,7.0859144
Gwale,1.5,1,6170.06,11.9747465,8.4746362
Gwandu,1.5,1,20000.0,12.4893811,4.6277949
Gwaram,1.5,1,19970.9,11.2198673,10.0506649
Gwarzo,1.5,1,8456.45,11.9009397,7.9836793
Gwer East,1.5,0,20000.0,7.378217,8.3527425
Gwer West,1.5,0,20000.0,7.6210447,8.206342
Gwiwa,1.5,1,16238.83,12.7376334,8.292064
Gwoza,1.5,1,3505.84,11.0831008,13.6941974
Hawul,1.5,1,834.35,10.4545467,12.3077703
Hong,3.0,0,6244.22,10.2622947,12.9479254
Ibadan North,4.0,0,594.04,7.4206526,3.9092156
Ibadan North West,15.0,0,1850.49,7.4036511,3.871402
Ibadan South West,15.0,1,823.7,7.3733705,3.8589668
Ibaji,1.5,0,4641.24,6.7915719,6.7599354
Ibarapa Central,1.5,1,10935.09,7.4115165,3.247705
Ibarapa East,1.5,0,3589.59,7.5840667,3.459362
Ibarapa North,1.5,0,2217.54,7.6445747,3.1731014
Ibeju/Lekki,7.0,1,16589.98,6.4711251,3.8147504
Ibeno,1.5,0,2846.98,4.5580121,8.1085551
Ibesikpo Asutan,1.5,1,7381.98,4.9179451,7.9647991
Ibi,1.5,1,1163.87,8.182155,9.7472789
Ibiono Ibom,1.5,1,6969.5,5.2040105,7.8974506
Idah,1.5,1,538.56,7.1099854,6.7340488
Idanre,1.5,0,1511.11,6.975549,5.2547047
Ideato North,1.5,1,8452.88,5.8611507,7.1358232
Ideato South,1.5,0,3109.34,5.8053246,7.1389231
Idemili North,1.5,1,6479.81,6.1371463,6.8856971
Idemili South,1.5,0,5839.77,6.0722537,6.8332372
Ido,2.0,0,1339.71,7.5191533,3.697842
Ido-Osi,1.5,1,20000.0,7.8633483,5.1969435
Ifako-Ijaye,1.5,1,4996.27,6.6604933,3.3214708
Ife Central,1.5,1,3608.38,7.5463691,4.5280269
Ife East,1.5,0,10312.42,7.403415,4.5995946
Ife North,1.5,0,5428.55,7.2776156,4.4528658
Ife South,1.5,1,5604.04,7.2248225,4.6099752
Ifedayo,1.5,1,2874.62,7.9618888,4.9848067
Ifedore,1.5,0,5056.75,7.3528421,5.1103681
Ifelodun,3.0,0,3804.69,7.9045165,4.6370338
Ifo,1.5,0,9355.12,6.7563533,3.2416864
Igabi,1.5,1,10831.48,10.7490822,7.5289498
Igalamela-Odolu,1.5,0,1080.41,7.0354145,7.0591062
Igbo-Etiti,1.5,0,20000.0,6.6889069,7.4059266
Igbo-Eze North,1.5,0,20000.0,7.0047968,7.4594853
Igbo-Eze South,1.5,0,18628.11,6.9519151,7.3499866
Igueben,1.5,1,20000.0,6.6018648,6.242448
Ihiala,1.5,1,6892.24,5.8443234,6.8732874
Ihitte/Uboma,1.5,0,3572.56,5.6492083,7.3814958
Ijebu East,2.0,0,3718.41,6.8181465,4.2512575
Ijebu North,4.0,0,2610.96,7.032131,3.9914572
Ijebu North East,4.0,0,10448.7,6.887079,4.0068673
Ijebu Ode,1.5,1,10006.91,6.8140077,3.9151668
Ijero,1.5,0,17958.29,7.8317359,5.0583553
Ijumu,1.5,0,20000.0,7.842371,5.8957474
Ika,1.5,1,8235.0,5.0161686,7.542619
Ika North East,1.5,1,14369.54,6.2361939,6.320777
Ika South,1.5,0,8252.99,6.1849053,6.1380809
Ikara,1.5,0,1630.46,11.3111222,8.1640685
Ikeduru,1.5,0,664.75,5.5596812,7.1489271
Ikeja,1.5,1,6188.68,6.5974727,3.3432815
Ikenne,15.0,1,7153.56,6.9010633,3.6977168
Ikere,1.5,1,20000.0,7.5135717,5.2202759
Ikole,1.5,0,20000.0,7.8831532,5.5156487
Ikom,1.5,1,2333.77,5.962765,8.7239694
Ikono,1.5,1,9098.42,5.1832347,7.7908996
Ikorodu,3.0,1,3578.46,6.6191233,3.5041271
Ikot Abasi,1.5,0,1382.52,4.5850454,7.635553
Ikot Ekpene,1.5,1,1163.86,5.181975,7.7132177
Ikpoba-Okha,1.5,1,9816.92,6.1997654,5.6622467
Ikwerre,1.5,1,14413.9,5.0705152,6.8820046
Ikwo,1.5,0,65.22,6.0830204,8.1856299
Ikwuano,1.5,0,20000.0,5.4092775,7.5729916
Ila,3.0,0,5431.44,7.9702752,4.8951082
Ilaje,1.5,1,5635.11,6.1963821,4.7590558
Ile-Oluji-Okeigbo,1.5,1,15489.57,7.2369326,4.8913266
